interval,origin,destination,demand
0_1800,WEST_NORTH,WEST_SOUTH,88
0_1800,WEST_NORTH,NORTH,8
0_1800,WEST_NORTH,SOUTH,8
0_1800,WEST_NORTH,EAST,547
0_1800,WEST_NORTH,EAST_NORTH,453
0_1800,WEST_NORTH,EAST_SOUTH,240
0_1800,WEST_SOUTH,WEST_NORTH,60
0_1800,WEST_SOUTH,NORTH,28
0_1800,WEST_SOUTH,SOUTH,8
0_1800,WEST_SOUTH,EAST,217
0_1800,WEST_SOUTH,EAST_NORTH,8
0_1800,WEST_SOUTH,EAST_SOUTH,90
0_1800,NORTH,WEST_NORTH,57
0_1800,NORTH,WEST_SOUTH,26
0_1800,NORTH,SOUTH,8
0_1800,NORTH,EAST,84
0_1800,NORTH,EAST_NORTH,117
0_1800,NORTH,EAST_SOUTH,11
0_1800,SOUTH,WEST_NORTH,57
0_1800,SOUTH,WEST_SOUTH,60
0_1800,SOUTH,NORTH,41
0_1800,SOUTH,EAST,59
0_1800,SOUTH,EAST_NORTH,36
0_1800,SOUTH,EAST_SOUTH,375
0_1800,EAST,WEST_NORTH,135
0_1800,EAST,WEST_SOUTH,391
0_1800,EAST,NORTH,68
0_1800,EAST,SOUTH,600
0_1800,EAST,EAST_NORTH,15
0_1800,EAST,EAST_SOUTH,120
0_1800,EAST_NORTH,WEST_NORTH,398
0_1800,EAST_NORTH,WEST_SOUTH,60
0_1800,EAST_NORTH,NORTH,57
0_1800,EAST_NORTH,SOUTH,28
0_1800,EAST_NORTH,EAST,60
0_1800,EAST_NORTH,EAST_SOUTH,42
0_1800,EAST_SOUTH,WEST_NORTH,1845
0_1800,EAST_SOUTH,WEST_SOUTH,695
0_1800,EAST_SOUTH,NORTH,82
0_1800,EAST_SOUTH,SOUTH,343
0_1800,EAST_SOUTH,EAST,71
0_1800,EAST_SOUTH,EAST_NORTH,53
1800_3600,WEST_NORTH,WEST_SOUTH,57
1800_3600,WEST_NORTH,NORTH,48
1800_3600,WEST_NORTH,SOUTH,11
1800_3600,WEST_NORTH,EAST,187
1800_3600,WEST_NORTH,EAST_NORTH,156
1800_3600,WEST_NORTH,EAST_SOUTH,315
1800_3600,WEST_SOUTH,WEST_NORTH,96
1800_3600,WEST_SOUTH,NORTH,37
1800_3600,WEST_SOUTH,SOUTH,11
1800_3600,WEST_SOUTH,EAST,352
1800_3600,WEST_SOUTH,EAST_NORTH,28
1800_3600,WEST_SOUTH,EAST_SOUTH,514
1800_3600,NORTH,WEST_NORTH,152
1800_3600,NORTH,WEST_SOUTH,42
1800_3600,NORTH,SOUTH,88
1800_3600,NORTH,EAST,47
1800_3600,NORTH,EAST_NORTH,227
1800_3600,NORTH,EAST_SOUTH,73
1800_3600,SOUTH,WEST_NORTH,19
1800_3600,SOUTH,WEST_SOUTH,78
1800_3600,SOUTH,NORTH,11
1800_3600,SOUTH,EAST,72
1800_3600,SOUTH,EAST_NORTH,88
1800_3600,SOUTH,EAST_SOUTH,90
1800_3600,EAST,WEST_NORTH,180
1800_3600,EAST,WEST_SOUTH,341
1800_3600,EAST,NORTH,341
1800_3600,EAST,SOUTH,508
1800_3600,EAST,EAST_NORTH,19
1800_3600,EAST,EAST_SOUTH,92
1800_3600,EAST_NORTH,WEST_NORTH,350
1800_3600,EAST_NORTH,WEST_SOUTH,81
1800_3600,EAST_NORTH,NORTH,120
1800_3600,EAST_NORTH,SOUTH,39
1800_3600,EAST_NORTH,EAST,120
1800_3600,EAST_NORTH,EAST_SOUTH,78
1800_3600,EAST_SOUTH,WEST_NORTH,2304
1800_3600,EAST_SOUTH,WEST_SOUTH,1440
1800_3600,EAST_SOUTH,NORTH,654
1800_3600,EAST_SOUTH,SOUTH,1028
1800_3600,EAST_SOUTH,EAST,67
1800_3600,EAST_SOUTH,EAST_NORTH,152
